[INFO] [2019-10-25 15:02:22,668] | [warehouse-exercise-cassandra-plugin-default-dispatcher-23]  | c.d.d.c.u.UUIDs: PID obtained through native call to getpid(): 15891
[INFO] [2019-10-25 15:02:22,678] | [warehouse-exercise-cassandra-plugin-default-dispatcher-26]  | c.d.d.c.ClockFactory: Using native clock to generate timestamps.
[INFO] [2019-10-25 15:02:22,859] | [warehouse-exercise-cassandra-plugin-default-dispatcher-26]  | c.d.d.c.p.DCAwareRoundRobinPolicy: Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
[INFO] [2019-10-25 15:02:22,861] | [warehouse-exercise-cassandra-plugin-default-dispatcher-26]  | c.d.d.c.Cluster: New Cassandra host localhost/127.0.0.1:9042 added
[INFO] [2019-10-25 15:02:22,968] | [warehouse-exercise-akka.actor.default-dispatcher-17] warehouse-exercise-akka.actor.default-dispatcher-22 | a.p.c.q.EventsByTagStage: [145427a1-0a52-4696-99f2-cbccd77b67be]: EventsByTag query [warehouseTag] starting with EC delay 5000ms: fromOffset [dd266650-f726-11e9-9b2f-4f81ee36db8d (2019-10-25 12:56:30:261)] toOffset [None]
[WARN] [2019-10-25 15:02:25,462] | [warehouse-exercise-akka.actor.default-dispatcher-21] warehouse-exercise-akka.actor.default-dispatcher-19 | a.s.Serialization(akka://warehouse-exercise): Using the default Java serializer for class [warehouse.domain.Warehouse$RemovedProduct] which is not recommended because of performance implications. Use another serializer or disable this warning using the setting 'akka.actor.warn-about-java-serializer-usage'
[WARN] [2019-10-25 15:02:25,462] | [warehouse-exercise-akka.actor.default-dispatcher-21] warehouse-exercise-akka.actor.default-dispatcher-3 | a.s.Serialization(akka://warehouse-exercise): Using the default Java serializer for class [warehouse.domain.Warehouse$AddedProduct] which is not recommended because of performance implications. Use another serializer or disable this warning using the setting 'akka.actor.warn-about-java-serializer-usage'
[INFO] [2019-10-25 15:20:24,727] | [warehouse-exercise-akka.actor.default-dispatcher-15] warehouse-exercise-akka.actor.default-dispatcher-16 | a.a.ActorSystemImpl: Shutting down the server
[INFO] [2019-10-25 15:20:24,744] | [warehouse-exercise-akka.actor.default-dispatcher-3] warehouse-exercise-akka.remote.default-remote-dispatcher-65 | a.r.RemoteActorRefProvider$RemotingTerminator: Shutting down remote daemon.
[INFO] [2019-10-25 15:20:24,748] | [warehouse-exercise-akka.actor.default-dispatcher-3] warehouse-exercise-akka.remote.default-remote-dispatcher-65 | a.r.RemoteActorRefProvider$RemotingTerminator: Remote daemon shut down; proceeding with flushing remote transports.
[INFO] [2019-10-25 15:20:24,792] | [warehouse-exercise-akka.actor.default-dispatcher-2] warehouse-exercise-akka.actor.default-dispatcher-3 | a.r.Remoting: Remoting shut down
[INFO] [2019-10-25 15:20:24,792] | [warehouse-exercise-akka.actor.default-dispatcher-2] warehouse-exercise-akka.remote.default-remote-dispatcher-175 | a.r.RemoteActorRefProvider$RemotingTerminator: Remoting shut down.
[INFO] [2019-10-25 15:20:42,741] | [warehouse-exercise-akka.actor.default-dispatcher-4]  | a.e.s.Slf4jLogger: Slf4jLogger started
[INFO] [2019-10-25 15:20:42,804] | [warehouse-exercise-akka.actor.default-dispatcher-2] run-main-6 | a.r.Remoting: Starting remoting
[INFO] [2019-10-25 15:20:43,689] | [warehouse-exercise-akka.actor.default-dispatcher-3] run-main-6 | a.r.Remoting: Remoting started; listening on addresses :[akka.tcp://warehouse-exercise@127.0.0.1:2551]
[INFO] [2019-10-25 15:20:43,691] | [warehouse-exercise-akka.actor.default-dispatcher-3] run-main-6 | a.r.Remoting: Remoting now listens on addresses: [akka.tcp://warehouse-exercise@127.0.0.1:2551]
